Title,Seasons,Episodes,Country,Premiere Year,Final Year,Original Channel,Channel2,Channel3,Channel4,Channel5,
Centaurworld,2,18,United States,2021,2021,Netflix,,,,,
Central Park,2,24,United States,2020,Present,Apple TV+,,,,,
Century Sonny,,104,China,2006,2016,CCTV,,,,,
ChalkZone,2,42,United States,2002,2008,Nickelodeon,,,,,
Chamki ki Duniya,,,India,2015,2016,Pogo,,,,,
Channel Umptee-3,1,13,US,1997,1998,Kids' WB,,,,,
Chaotic,3,79,"Canada, United States",2006,2011,4Kids TV,,,,,
Chaplin & Co,1,104,"France, India",2011,2012,France 3,,,,,
Charlie and Lola,3,78,Britain,2005,2009,CBeebies (United Kingdom),Discovery Kids (Latin American),,,,
Charlie Chalk,1,13,UK,1988,1989,BBC1,,,,,
Charlie's Colorforms City,,13,"Canada, United States",2019,2019,Netflix,,,,,
Chhota Bheem,,82,India,2008,Present,Pogo,,,,,
Chibiverse,1,1,United States,2022,Present,Disney Channel,,,,,
Chicago Party Aunt,1,8,United States,2021,Present,Netflix,,,,,
Chico Bon Bon: Monkey with a Tool Belt,4,38,United States,2020,2020,Netflix,,,,,
Chilly Beach,,65,Canada,2003,2008,CBC Television,,,,,
"China, IL",3,30,United States,2011,2015,Adult Swim,,,,,
Chip 'n Dale Rescue Rangers,3,65,US,1989,1990,The Disney Channel,Syndication,,,,
Chip 'n' Dale: Park Life,1,12,"France, United States",2021,Present,Disney+,,,,,
Chip and Potato,2,40,"Canada, Britain",2018,Present,Family Jr. (Canada),Netflix (United States),,,,
Chirp,1,52,Canada,2015,2016,CBC Television,,,,,
Chloe's Closet,2,52,UK,2010,2017,CITV (United Kingdom),KiKA (Germany),Sprout,,,
Chop Chop Ninja,1,20,Canada,2018,2018,Teletoon,,,,,
Chop Chop Ninja Challenge,,40,Canada,2014,2015,Teletoon,,,,,
Chop Socky Chooks,,26,"Canada, Britain",2008,2010,Teletoon,Cartoon Network,,,,
Chowder,3,49,United States,2007,2010,Cartoon Network,,,,,
Chozen,,13,United States,2014,2014,FX,,,,,
Chris Colorado,1,26,France,2000,2000,France 3,,,,,
Chuck's Choice,1,20,Canada,2017,2017,YTV (Canada),,,,,
Chucklewood Critters,2,26,US,1998,1999,Seven Network,,,,,
Chuggington,,104,Britain,2008,2015,BBC Two,,,,,
Chuggington,,104,Britain,2021,Present,BBC Two,,,,,
Chumballs,,26,France,2009,2009,France 5,,,,,
Circle Square,1,40,"United Kingdom, Ireland",2021,Present,Milkshake!,,,,,
City of Ghosts,1,6,"United States, France",2021,2021,Netflix,,,,,
CJ the DJ,,52,Australia,2009,2010,ABC3,,,,,
Clang Invasion,,26,"Canada, Singapore",2007,2007,YTV,,,,,
Clanners,,,Spain,2011,2012,Clan,,,,,
Clara in Foodland,,26,Brazil,2009,2010,Discovery Kids,,,,,
Clarence,,130,United States,2014,2018,Cartoon Network,,,,,
Class of 3000,2,28,United States,2006,2008,Cartoon Network,,,,,
Class of the Titans,2,52,Canada,2005,2008,Teletoon,,,,,
Classical Baby,1,6,United States,2005,2005,HBO,HBO Family,,,,
Clay Kids,2,52,Spain,2013,2015,Gloob,,,,,
Cleo & Cuquin,2,78,Spain Mexico,2018,2020,Clan TV,,,,,
Cleopatra in Space,3,26,United States,2020,2021,DreamWorks Channel,Peacock,,,,
Clerks: The Animated Series,1,6,United States,2000,2002,ABC,,,,,
Clic & Cat,,52,Italy,2004,2004,Rai 2,,,,,
Click and Clack's As the Wrench Turns,,10,United States,2008,2008,PBS,,,,,
Clifford the Big Red Dog,1,7,Canada,1988,1988,Syndication,,,,,
Clifford the Big Red Dog,2,65,"Britain, United States",2000,2003,PBS Kids,,,,,
Clifford the Big Red Dog,1,40,"Canada, United States",2019,2021,Amazon Prime,PBS Kids,,,,
Clifford's Puppy Days,,42,"Britain, United States",2003,2006,PBS Kids,CBeebies,Discovery Kids,,,
Clone High,1,13,"Canada, United States",2002,2003,Teletoon at Night,MTV,,,,
Close Enough,3,24,United States,2020,2022,HBO Max,,,,,
Cloudy with a Chance of Meatballs,2,104,"Canada, United States",2017,2018,Cartoon Network,YTV,,,,
Coach Me If You Can,1,52,France,2020,Present,France Televisions,,,,,
Cococinel,1,52,France,1992,1992,,,,,,
Cocomong,3,78,South Korea,2008,2015,EBS,,,,,
Coconut Fred's Fruit Salad Island,2,13,"Canada, United States",2005,2006,Kids' WB,,,,,
Code Lyoko,4,95,France,2003,2007,France 3,,,,,
Code Lyoko: Evolution,1,26,France,2013,2013,France 4,Canal J,,,,
Code Monkeys,,26,United States,2007,2008,G4,,,,,
Codename: Kids Next Door,6,81,United States,2002,2008,Cartoon Network,,,,,
Colourblocks,1,5,United Kingdom,2022,Present,CBeebies,,,,,
Combo Niños,,26,France,2008,2008,Jetix,TF1,,,,
Commander Clark,1,52,France,2010,2010,YouTube,,,,,
Committed,1,13,Canada,2001,2001,CTV,,,,,
Conan and the Young Warriors,1,13,US,1994,1994,CBS,,,,,
Conan the Adventurer,2,65,"US, Canada, France",1992,1994,Syndication,,,,,
Connie the Cow,,44,Spain,2003,2007,Noggin,Teledeporte,,,,
Constantine: City of Demons,,5,United States,2018,2019,CW Seed,,,,,
Corduroy,1,26,"Canada, China",2000,2001,PBS Kids,,,,,
Corn & Peg,,20,Canada,2019,2020,Nickelodeon,Treehouse TV,,,,
Corner Gas Animated,,46,Canada,2018,2021,The Comedy Network,,,,,
Cosmic Quantum Ray,,26,"France, Germany, United States",2007,2008,KiKa,,,,,
Costume Quest,,20,United States,2019,2020,Amazon Prime Video,,,,,
Count Duckula,4,65,"US, UK",1988,1993,ITV,,,,,
Counterfeit Cat,1,52,"Canada, Britain",2016,2017,Disney XD (United Kingdom),Teletoon (Canada),,,,
Courage the Cowardly Dog,4,52,US,1999,2002,Cartoon Network,,,,,
Cow and Chicken,3,52,US,1997,1999,Cartoon Network,,,,,
Cracked,1,52,Canada,2016,2016,Teletoon,,,,,
Craig of the Creek,4,143,United States,2018,Present,Cartoon Network,,,,,
Crapston Villas,1,20,UK,1995,1997,Channel 4,,,,,
Crash Canyon,2,26,Canada,2011,2013,Teletoon at Night,,,,,
Crash Zoom,,6,United Kingdom,2015,Present,YouTube,,,,,
Crashbox,2,52,"Canada, US",1999,2001,HBO Family,,,,,
Creative Galaxy,3,68,"Canada, United States",2013,2017,Amazon Video,,,,,
Creature Comforts,3,27,Britain,2003,2007,ITV,,,,,
Creepschool,,26,"Canada, France, Sweden",2004,2004,Teletoon,,,,,
Creepy Crawlers,1,23,"US, France",1994,1996,Syndication,,,,,
Creepy Crawlies,1,52,UK,1987,1989,CITV,,,,,
Critters.TV,,,Ireland,2019,Present,RTEjr,,,,,
Cro,1,20,US,1993,1994,ABC,,,,,
Crocadoo,1,52,Australia,1996,1998,Nine Network,,,,,
Crossing Swords,2,20,United States,2020,2021,Hulu,,,,,
Cubix: Robots for Everyone,2,26,South Korea,2001,2003,SBS,Kids' WB,,,,
Cuocarina,,26,Italy,2007,2011,Rai 3,Rai Yoyo,,,,
Cupcake & Dino: General Services,2,26,"Brazil, Canada",2018,2019,Netflix,Teletoon,Disney Channel (Latin America),,,
Curious George,,104,United States,2006,Present,PBS Kids,,,,,
Cyberchase,12,126,"Canada, United States",2002,Present,PBS Kids,,,,,
Cybersix,1,13,"Canada, Japan",1999,2000,Teletoon,Fox Kids,,,,
D.N. Ace,,40,Canada,2019,Present,Teletoon,,,,,
Da Boom Crew,,13,"Britain, Canada, United States",2004,2004,Kids' WB,,,,,
Da Jammies,1,13,"United States, Canada",2015,Present,Netflix,,,,,
Da Möb,1,14,Sweden,2001,2001,Fox Family,,,,,
DaDuDiDo,5,30,Malaysia,2014,Present,,,,,,
Daft Planet,1,13,Canada,2002,2002,Teletoon at Night,,,,,
Dan Dare: Pilot of the Future,1,26,"Britain, United States",2001,2001,Channel Five,,,,,
Dan Vs.,,53,United States,2011,2013,The Hub,,,,,
Dance-A-Lot Robot,1,10,United States,2010,2010,Playhouse Disney,,,,,
Danger & Eggs,,13,United States,2017,2017,Amazon Video,,,,,
Danger Mouse (2015),2,99,Britain,2015,2017,CBBC,,,,,
Danger Rangers,1,16,United States,2005,2006,PBS Kids,CBS,,,,
Daniel Spellbound,TBA,TBA,United States,2022,2022,Netflix,,,,,
Daniel Tiger's Neighborhood,,113,"Canada, United States",2012,Present,PBS Kids,,,,,
Danny Phantom,3,53,United States,2004,2007,Nickelodeon,,,,,
Daria,5,65,US,1997,2002,MTV,,,,,
Dark Oracle,2,26,Canada,2004,2006,YTV,,,,,
Darkstalkers,1,13,US,1995,1995,Syndication,,,,,
Darkwing Duck,3,91,US,1991,1992,The Disney Channel,Syndication,ABC,,,
Dave the Barbarian,1,21,United States,2004,2005,Disney Channel,,,,,
Dawn of the Croods,4,52,United States,2015,2018,Netflix,,,,,
DC Nation Shorts,,150,United States,2011,2014,Cartoon Network,,,,,
DC Super Hero Girls,5,112,United States,2015,2018,YouTube,,,,,
DC Super Hero Girls,1,42,United States,2019,Present,Cartoon Network,,,,,
Dead End: Paranormal Park,1,10,United States,2022,Present,Netflix,,,,,
Deadly,,13,Australia,2006,2006,Nine Network,,,,,
Deathstroke: Knights & Dragons,1,1,United States,2020,2020,CW Seed,,,,,
Decisive Battles,,26,United States,2004,2004,History,,,,,
Deepa & Anoop,1,10,United States,2022,Present,Netflix,,,,,
Deer Dilemma,,147,"Brazil, Canada",2015,Present,Nickelodeon Brazil,SBT,Teletoon,,,
Deer Squad,1,40,China,2021,Present,iQIYI,,,,,
Delfy and His Friends,1,91,Spain,1992,1992,TVE,,,,,
Delilah and Julius,2,52,Canada,2005,2008,Teletoon,,,,,
Delta State,,26,"Canada, France",2004,2005,Teletoon at Night,,,,,
Dennis & Gnasher: Unleashed!,,52,Britain,2017,Present,CBBC,,,,,
Dennis and Gnasher,2,26,UK,1996,1998,BBC,TCC,,,,
Dennis and Gnasher,,102,"Australia, Britain",2009,2013,Nine Network,,,,,
"Denver, the Last Dinosaur",2,52,US,1988,1988,Syndication,,,,,
Descendants: Wicked World,2,33,United States,2015,2017,Disney Channel,,,,,
Dessert Defender,1,3,France,2019,2019,Nintendo,,,,,
Detention,1,13,US,1999,2000,Kids' WB,,,,,
Detentionaire,4,60,Canada,2011,2015,Teletoon,,,,,
Devil May Care,1,6,United States,2021,Present,Syfy,,,,,
Dex Hamilton: Alien Entomologist,,26,"Australia, Canada",2008,2008,Network Ten,CBC,,,,
Dexter's Laboratory,4,78,US,1996,1998,Cartoon Network,,,,,
Dexter's Laboratory,4,78,US,2001,2003,Cartoon Network,,,,,
Diabolik,1,36,France,2000,2000,Fox Kids,,,,,
Dibo the Gift Dragon,,52,South Korea,2004,2004,,,,,,
Dick Figures,6,54,United States,2010,2015,YouTube,Mondo Media,,,,
Dicktown,1,10,United States,2020,Present,FXX,,,,,
Diego and Glot,2,20,Chile,2005,2005,Canal 13,,,,,
Dig & Dug with Daisy,1,16,UK,1993,1993,Channel 4,,,,,
Dilbert,2,30,US,1999,2000,UPN,,,,,
"Dink, the Little Dinosaur",2,21,US,1989,1990,CBS,,,,,
Dino Aventuras,,20,Brazil,2015,2015,Disney Channel,Disney Junior,,,,
Dino Babies,2,26,US,1994,1995,BBC One/BBC Two,TCC,YTV,,,
Dino Ranch,2,26,United States,2021,Present,Disney Junior,,,,,
Dino-Riders,1,14,US,1988,1988,Syndication,,,,,
Dinofroz,,26,Italy,2012,2012,K2,,,,,
Dinopaws,,52,"Britain, Canada",2014,2017,Treehouse TV,CBeebies,,,,
Dinosaucers,1,65,US,1987,1987,Syndication,,,,,
Dinosaur Train,,100,United States,2009,2020,PBS Kids,,,,,
DinoSquad,,26,United States,2007,2008,CBS,,,,,
Dinotrux,8,78,"United States, Canada",2015,2018,Netflix,Discovery Kids (Latin American),,,,
Dipdap,1,52,Britain,2011,2013,CBeebies,,,,,
Dirtgirlworld,,52,"Australia, Canada",2009,2011,ABC,,,,,
Disenchantment,2,30,United States,2018,Present,Netflix,,,,,
Dive Olly Dive!,1,26,Australia,2005,2011,Qubo,,,,,
DJ & the Fro,,9,United States,2009,2009,MTV,,,,,
"Do, Re & Mi",1,8,United States,2021,Present,Amazon Prime Video,,,,,
Doc McStuffins,5,136,"Ireland, United States",2012,2020,Disney Junior,,,,,
Dodo,1,20,United Kingdom,2022,Present,Cartoon Network / HBO Max,,,,,
Dofus: The Treasures of Kerubim,2,52,France,2013,2014,Ludo,,,,,
Dog City,3,31,"US, Canada",1992,1994,Fox Kids,,,,,
Dog Loves Books,1,52,Britain,2020,2020,CBeebies,,,,,
Doggy Day School,,52,"Brazil, Canada",2008,2011,TVOntario,,,,,
Dogs in Space,1,12,United States,2021,Present,Netflix,,,,,
Dogstar,,26,Australia,2006,2007,Nine Network,,,,,
Doki,3,76,Canada,2013,2019,Discovery Kids,,,,,
DokiDoki! PreCure,,49,Japan,2006,2014,ANN,,,,,
Don't Eat the Neighbours,1,26,Britain,2001,2001,CITV,,,,,
Donald's Quack Attack,1,95,US,1992,1997,Disney Channel,,,,,
Donkey Kong Country,2,40,"Canada, France",1997,2000,Teletoon,,,,,
Doodlebugs,,6,Britain,2017,2018,BBC One,,,,,
Doodlez,1,50,Canada,2002,2004,Teletoon,,,,,
Dooly the Little Dinosaur,3,39,South Korea,1987,1988,KBS1,Tooniverse,,,,
Dooly the Little Dinosaur,3,39,South Korea,2008,2012,KBS1,Tooniverse,,,,
Doomlands,TBA,TBA,"Canada, United States",2022,Present,Roku,,,,,
Doomsday Brothers,1,18,Canada,2020,2021,Adult Swim (Canada),Télétoon la nuit,,,,
Dora and Friends: Into the City!,,40,United States,2014,2017,Nick Jr.,,,,,
Dora the Explorer,8,178,United States,2000,2014,Nickelodeon,,,,,
Dorg Van Dango,1,52,Canada,2020,Present,Family Channel,Nickelodeon,,,,
Dorothy and the Wizard of Oz,,40,United States,2017,2020,Boomerang,,,,,
Dot.,2,78,"Canada, United States",2016,2018,CBC Kids (Canada),Universal Kids (United States),Nat Geo Kids (Latin American),,,
Dota: Dragon's Blood,2,16,United States,2021,Present,Netflix,,,,,
Double Dragon,2,26,US,1993,1994,Syndication,,,,,
Doug,7,117,"France, US",1991,1994,Nickelodeon,ABC,,,,
Doug Unplugs,2,26,United States,2020,Present,Apple TV+,,,,,
Downtown,1,13,US,1999,1999,MTV,,,,,
Dr. Dimensionpants,,26,Canada,2014,2015,Teletoon,,,,,
"Dr. Katz, Professional Therapist",6,81,US,1995,2002,Comedy Central,,,,,
Dr. Xargle,1,13,UK,1997,1997,,,,,,
Dr. Zitbag's Transylvania Pet Shop,4,65,"UK, France",1994,1997,TF1,,,,,
Dragon,,78,"Canada, United States",2004,2007,Treehouse TV,,,,,
Dragon Age: Absolution,TBA,TBA,United States,2022,2022,Netflix,,,,,
Dragon Booster,3,39,Canada,2004,2006,CBCJetix,,,,,
Dragon Flyz,1,26,"US, France",1996,1997,ABC,,,,,
Dragon Hunters,,52,"France, Canada, USA",2006,2007,France 3,Canal J,Teletoon,Cartoon Network,,
Dragon Tales,3,94,"Canada, US",1999,2005,PBS Kids,CBC Television,,,,
Dragons: The Nine Realms,2,13,United States,2021,Present,Hulu / Peacock,,,,,
Drawn Together,3,36,United States,2004,2007,Comedy Central,,,,,
Dreamkix,1,26,South Korea,2010,2010,Disney Channel (English),,,,,
DreamWorks Dragons,8,118,United States,2012,2018,Cartoon Network,Netflix,,,,
DreamWorksTV,,26,Canada,2016,Present,Family Channel,YouTube,,,,
Driver Dan's Story Train,,108,UK,2010,2013,CBeebies,,,,,
Droners,1,52,France,2020,2020,TF1,,,,,
"Droopy, Master Detective",1,13,US,1993,1994,Fox Kids,,,,,
Duck & Goose,1,8,United States,2022,Present,Apple TV+,,,,,
Duck Dodgers,3,39,United States,2003,2005,Cartoon Network,,,,,
Duckman,4,70,US,1994,1997,USA Network,,,,,
DuckTales,4,100,US,1987,1990,Syndication,,,,,
DuckTales (2017),3,69,United States,2017,2021,Disney XD,Disney Channel,,,,
"Dude, That's My Ghost!",1,52,"France, UK",2013,2013,Disney XD,,,,,
Dufan Defender,,26,Indonesia,2012,Present,Ancol Dreamlight,,,,,
Dug Days,1,5,United States,2021,2021,Disney+,,,,,
Dumb and Dumber,1,13,US,1995,1995,ABC,,,,,
Dumbotz,,52,Australia,2019,Present,9Go!,,,,,
Duncanville,3,33,United States,2020,Present,Fox,,,,,
Dylan,TBA,TBA,United States,2022,2022,Cartoonito,,,,,
E4 Esting,8,25,Britain,2003,2018,E4,,,,,
Eagle Riders,1,65,US,1996,1997,Fox Kids,Syndication,,,,
Earth to Luna!,,52,Brazil,2014,2018,Sprout,,,,,
Earthworm Jim,2,23,US,1995,1996,Kids' WB,,,,,
Ebb and Flo,1,26,"Britain, Germany",2005,2005,,,,,,
Eckhart,3,39,"Canada, Hong Kong",2000,2000,Teletoon,,,,,
"Ed, Edd n Eddy",6,70,"Canada, US",1999,2009,Cartoon Network,,,,,
Eddsworld,65,6,United Kingdom,2003,Present,Newgrounds,YouTube,,,,
Edgar & Ellen,,26,"Canada, United States",2007,2008,YTV,Nicktoons Network,,,,
Edward and Friends,1,20,UK,1987,1987,BBC2,,,,,
Eek! The Cat,5,75,"US, Canada",1992,1997,Fox Kids,,,,,
Ejen Ali,,26,Malaysia,2016,2018,TV3,,,,,
El Chapulín Colorado Animado,5,74,Mexico,2015,2017,Canal 5,,,,,
El Chavo Animado,,135,Mexico,2006,2014,Televisa,,,,,
El Deafo,1,3,United States,2022,2022,Apple TV+,,,,,
El Tigre: The Adventures of Manny Rivera,1,26,United States,2007,2008,Nickelodeon,,,,,
Elena of Avalor,,40,United States,2016,2020,Disney Channel,Disney Junior,,,,
Elinor Wonders Why,1,40,"Canada, United States",2020,Present,PBS Kids,,,,,
Eliot Kid,,53,"France, Britain",2008,2008,CBBC,,,,,
Ella the Elephant,1,52,Canada,2013,2014,TVOKids,,,,,
Ellen's Acres,,48,United States,2006,2007,Cartoon Network,,,,,
Ellie's World,2,52,Canada,2013,2015,Showcase,,,,,
Elliot Moose,2,26,Canada,1998,2000,PBS,Treehouse TV,Playhouse Disney,CBC Kids,,
Elliott from Earth,1,16,United Kingdom,2021,2021,Cartoon Network,,,,,
Eloise: The Animated Series,,13,United States,2006,2006,Starz,,,,,
Endangered Species,1,26,Canada,2015,2015,Teletoon (Canada),CBBC (United Kingdom),TG4 (Ireland),Boomerang (Australia),,
Engie Benjy,,52,Britain,2003,2005,CITV,,,,,
Eon Kid,,26,"South Korea, Spain",2006,2006,KBS2,TVE2,,,,
Eon Kid,,26,"South Korea, Spain",2007,2008,Kids' WB,,,,,
Epithet Erased,1,6,United States,2019,2019,YouTube,,,,,
Erky Perky,3,78,"Australia, Canada",2006,2009,Seven Network,YTV,,,,
Esme & Roy,,52,"Canada, United States",2018,2021,HBO,Treehouse TV,HBO Max,,,
Eureka!,1,15,"United States, Ireland",2022,Present,Disney Junior,,,,,
Everything's Rosie,4,105,UK,2010,2017,CBeebies,,,,,
Evil Con Carne,,15,United States,2003,2008,Cartoon Network,,,,,
Exosquad,2,52,US,1993,1994,Syndication,,,,,
Extreme Dinosaurs,1,52,US,1997,1997,Syndication,,,,,
Extreme Ghostbusters,1,40,US,1997,1997,Syndication,,,,,
Eye Drops,1,13,United States,2002,2002,TechTV,,,,,
F Is for Family,5,44,United States,2015,2021,Netflix,,,,,
Face's Music Party,1,11,United States,2022,Present,Nickelodeon,,,,,
Fairfax,1,8,United States,2021,Present,Amazon Prime Video,,,,,
Fairview,1,8,United States,2022,Present,Comedy Central,,,,,
Fairy Tale Police Department,1,26,Australia,2001,2002,Seven Network,,,,,
Family Dog,1,10,"US, Canada",1993,1993,CBS,,,,,
Family Guy,20,371,US,1999,2003,Fox,,,,,
Family Guy,20,371,US,2005,Present,Fox,,,,,
Famous 5: On the Case,,26,"France, Britain",2008,2008,France 3,Disney Channel,,,,
Fan’s Fantastic Features,1,4,United States,2020,Present,YouTube,,,,,
Fanboy & Chum Chum,,52,United States,2009,2012,Nickelodeon,,,,,
Fancy Nancy,3,51,United States,2018,2022,Disney Junior,,,,,
Fangbone!,,26,Canada,2016,2017,Family Chrgd,,,,,
Fantaghirò,1,26,Spain,1999,2000,Italia 1,,,,,
Fantastic Four,2,26,US,1994,1996,Syndication,,,,,
Fantastic Four: World's Greatest Heroes,,26,"France, United States",2006,2010,Nickelodeon UK,,,,,
Fantastic Max,2,26,US,1988,1990,BBC One,,,,,
Fantasy Patrol,2,52,Russia,2016,Present,Moolt,Moolt in Cinema,YouTube,,,
Fantasy Patrol: The Chronicles,,26,Russia,2019,Present,Moolt,Moolt in Cinema,YouTube,,,
Fantomcat,2,26,UK,1995,1996,ITV,,,,,
Fantomette,1,26,France,2000,2001,Canal J,,,,,
Farmkids,,26,Australia,2007,2008,ABC Kids,,,,,
Farzar,1,10,United States,2022,Present,Netflix,,,,,
Fast & Furious Spy Racers,2,16,United States,2019,2021,Netflix,,,,,
Fat Dog Mendoza,2,26,"UK, US",1998,2001,Cartoon Network,,,,,
Father of the Pride,,14,United States,2004,2005,NBC,,,,,
Fatherhood,,26,United States,2004,2005,Nick at Nite,,,,,
Fennec,1,26,France,1998,2003,Playhouse Disney,France 3,,,,
Fetch the Vet,2,26,UK,1999,1999,ITV,,,,,
Fetch! with Ruff Ruffman,,100,United States,2006,2010,PBS Kids Go!,,,,,
Fiddley Foodle Bird,1,13,UK,1992,1992,BBC1,,,,,
Fievel's American Tails,1,13,"US, Canada",1992,1992,CBS,,,,,
Fifi and the Flowertots,3,121,Britain,2005,2007,Channel 5 (United Kingdom),Nick Jr. (United Kingdom),Discovery Kids (Latin American),,,
Fillmore!,2,26,United States,2002,2008,ABC Kids,,,,,
Filly Funtasia,2,26,"China, Hong Kong, Spain",2019,2020,Frisbee,iQiyi,,,,
Final Space,,23,United States,2018,2021,TBS,Adult Swim,,,,
Firebuds,TBA,TBA,United States,2022,2022,Disney+ / Disney Junior,,,,,
Firehouse Tales,1,17,United States,2005,2006,Cartoon Network,,,,,
Fireman Sam,11,200,UK,1987,Present,CBBC,Channel 5,,,,
Fish Hooks,3,110,United States,2010,2014,Disney Channel,,,,,
Fish Police,1,6,US,1992,1992,CBS,,,,,
Fishtronaut,,108,"Brazil, Canada",2009,2015,Discovery Kids,,,,,
Fix & Foxi and Friends,1,52,"Australia, Germany, Spain",2000,2000,ARD,KiKa,,,,
Fırıldak Ailesi,3,69,Turkey,2013,2016,Star TV,,,,,
Flash Gordon,1,26,"Canada, France, US",1996,1997,ABC,,,,,
Fleabag Monkeyface,,52,Britain,2011,2012,CITV,,,,,
Flight Squad,1,26,"Canada, France",1998,1998,Teletoon,Télétoon,M6 Métropole Télévision,,,
Flipos,,,Chile,2010,2011,,,,,,
Flipper and Lopaka,3,78,Australia,1999,2005,Seven Network,ABC3,,,,
Floogals,,52,Britain,2016,2020,Mikeshake!,,,,,
"FloopaLoo, Where Are You?",2,104,France,2011,2014,Canal+ Family (France),Télétoon+ (France),France 5,Zouzous (France),Pakapaka (Argentina),
Flower Pot Men,3,45,Britain,2001,2001,BBC2,,,,,
Fluffy Gardens,1,80,Ireland,2007,2010,RTÉjr (Ireland),Tiny Pop (United Kingdom),Discovery Kids (Latin American),TVOKids (Canada),,
Fly Tales,1,65,"Canada, France",1999,1999,Teletoon,,,,,
Flying Rhino Junior High,2,26,"Canada, Scotland, France",1998,2000,CBS,Teletoon,,,,
For Better or for Worse,1,6,Canada,1992,1992,HBO,The Disney Channel,,,,
For Better or For Worse,1,16,Canada,2000,2000,Teletoon,,,,,
Forest Friends,,52,France,2006,2007,TF1,,,,,
Forky Asks A Question,,10,United States,2019,2019,Disney+,,,,,
Foster's Home for Imaginary Friends,6,79,United States,2004,2009,Cartoon Network,,,,,
Fourways Farm,1,25,UK,1994,1995,Channel 4,,,,,
Fraggle Rock: The Animated Series,1,13,US,1987,1987,NBC,,,,,
Frankenstein's Cat,,22,"France, Britain",2007,2008,,,,,,
Franklin,6,78,Canada,1997,2004,Treehouse TV,CBS,Noggin,,,
Franklin and Friends,2,25,Canada,2011,2013,Treehouse TV (Canada),Mediacorp (Singapore),Discovery Kids (Latin American),,,
Franny's Feet,,52,"Canada, Britain",2003,2010,Family Channel,Five,,,,
Freak Show,,7,United States,2006,2007,Comedy Central,,,,,
Freakazoid!,2,24,US,1995,1997,Kids' WB,,,,,
Freaktown,,26,Canada,2016,2016,Teletoon,,,,,
Freaky Stories,3,35,Canada,1997,2000,YTV,,,,,
Fred the Caveman,1,13,"Canada, France",2002,2002,Teletoon,,,,,
Fred's Head,,26,"Canada, France",2008,2008,Teletoon,France 2,,,,
Free for All,,7,United States,2003,2003,Showtime,,,,,
Free Willy,2,13,"US, Canada",1994,1994,ABC,,,,,
Freedom Fighters: The Ray,,12,United States,2017,2018,CW Seed,,,,,
Freefonix,,40,Britain,2008,2008,CBBC,,,,,
Fresh Beat Band of Spies,1,20,"United States, Canada",2015,2016,Nickelodeon,Nick Jr.,,,,
Friday: The Animated Series,,8,United States,2007,2007,MTV2,,,,,
FriendZSpace,1,20,Belgium,2022,2022,ABC Me,,,,,
Frisky Dingo,,25,United States,2006,2008,Adult Swim,,,,,
Fudêncio e Seus Amigos,6,179,Brazil,2005,2011,MTV Brasil,,,,,
Fugget About It,,39,Canada,2012,2016,Teletoon at Night,,,,,
Full English,,6,Britain,2012,2012,Channel 4,,,,,
Funky Cops,,26,"France, United States",2002,2004,,,,,,
Funpak,1,13,Canada,2005,2005,YTV,,,,,
Furiki Wheels,1,52,France,2017,2018,Disney XD,Nat Geo Kids,,,,
Futurama,7,140,US,1999,2003,Fox,Comedy Central,Hulu,,,
Futurama,7,140,US,2008,2013,Fox,Comedy Central,Hulu,,,
Future-Worm!,,21,United States,2016,2018,Disney XD,,,,,
Futz!,,26,Canada,2007,2007,Teletoon,,,,,
G.I. Joe Extreme,2,26,US,1995,1997,Syndication,,,,,
G.I. Joe: A Real American Hero,2,44,US,1989,1989,Syndication,,,,,
G.I. Joe: Renegades,1,26,United States,2010,2011,The Hub,,,,,
G2G,,26,"Australia, Canada",2008,2008,Nine Network,,,,,
G4's Late Night Peepshow,1,34,United States,2005,2006,G4,,,,,
Gabby's Dollhouse,4,33,United States,2021,Present,Netflix,,,,,
Gadget & the Gadgetinis,1,52,"French, United States",2002,2003,M6,Fox Kids,,,,
Gadget Boy & Heather,2,52,"France, US",1995,1998,M6,Syndication,,,,
Galactik Football,,78,France,2006,2011,France 2,,,,,
Game Over,,6,United States,2004,2004,UPN,,,,,
Garfield and Friends,7,121,US,1988,1994,CBS,,,,,
Gargoyles,3,78,US,1994,1997,ABC,Syndication,,,,
Gary & Mike,1,13,United States,2001,2001,UPN,,,,,
Gary the Rat,,13,United States,2003,2003,Spike TV,,,,,
Gasp!,,52,"Australia, United States",2011,2011,Nine Network,,,,,
Gaspard and Lisa,,51,Britain,2011,2012,Disney Junior,,,,,
Gattu Battu,,,India,2017,2020,Nickelodeon Sonic,Rishtey,,,,
Gawayn,2,104,France,2009,2012,France 3,Clan,,,,
Generation Jets,,13,United States,2003,2004,WCBS-TV,,,,,
Generation O!,1,13,United States,2000,2001,Kids' WB,,,,,
Generator Rex,3,60,United States,2010,2013,Cartoon Network,Tooncast,,,,
George and Martha,1,26,"Canada, US",1999,2000,HBO Family,YTV,,,,
George of the Jungle,,52,"Canada, United States",2007,2008,Teletoon,Cartoon Network,,,,
George of the Jungle,,52,"Canada, United States",2016,2017,Teletoon,Cartoon Network,,,,
George Shrinks,3,40,"Canada, China",2000,2003,PBS Kids,,,,,
Gerald McBoing-Boing,2,26,"Canada, United States",2005,2007,Teletoon (Canada),Cartoon Network (United States),,,,
Geronimo Stilton,,78,"France, Italy, United States",2009,2017,Rai 2,G4TV,,,,
